audio_id,speech_transcription,environment_classification,generated_situation,dominant_world_state
eval_001_markets.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_002_conversations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_003_emergency_scenes.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_004_conversations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_005_nature.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_006_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_007_mixed_acoustic_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_008_interviews.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_009_public_announcements.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_010_construction_sites.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_011_emergency_scenes.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_012_offices.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_013_airports.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_014_restaurants.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_015_homes.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_016_mixed_acoustic_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_017_markets.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_018_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_019_railway_stations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_020_lectures.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_021_restaurants.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_022_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_023_schools.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_024_public_announcements.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_025_fire_alarms.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_026_interviews.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_027_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_028_meetings.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_029_restaurants.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_030_police_situations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_031_hospital_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_032_conversations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_033_mixed_acoustic_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_034_offices.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_035_mixed_acoustic_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_036_police_situations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_037_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_038_mixed_acoustic_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_039_conversations.wav,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_040_police_situations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_041_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_042_markets.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_043_lectures.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_044_offices.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_045_hospital_environments.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_046_traffic.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_047_police_situations.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_048_meetings.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_049_homes.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
eval_050_airports.mp3,Mocked transcription.,Mocked scene.,Mocked human narrative.,Mocked State
