filename,latency_ms,speech,environment,situation,dominant_state
eval_001_markets.mp3,1291.562875000028,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_002_conversations.mp3,116.39062500019573,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_003_emergency_scenes.mp3,117.03962499980771,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_004_conversations.mp3,139.59508399996702,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_005_nature.mp3,133.02329199980812,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_006_traffic.mp3,129.87162500015182,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_007_mixed_acoustic_environments.mp3,118.50466600010914,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_008_interviews.mp3,122.5874160002888,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_009_public_announcements.wav,118.44554200009152,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_010_construction_sites.mp3,116.78533299967167,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_011_emergency_scenes.mp3,126.8882500001666,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_012_offices.mp3,115.98641699977743,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_013_airports.mp3,117.64616700004918,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_014_restaurants.mp3,142.09970800023365,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_015_homes.mp3,117.81745899982634,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_016_mixed_acoustic_environments.mp3,194.61858300003877,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_017_markets.wav,123.10812499966342,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_018_traffic.mp3,117.1557500000119,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_019_railway_stations.mp3,115.32900000004811,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_020_lectures.mp3,114.87045800034248,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_021_restaurants.wav,113.8477090001572,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_022_traffic.mp3,113.49991600021094,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_023_schools.mp3,130.13574999998235,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_024_public_announcements.mp3,117.67329200013701,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_025_fire_alarms.wav,124.79437500026616,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_026_interviews.wav,113.77825000029698,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_027_traffic.mp3,116.41287499999744,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_028_meetings.mp3,114.11487500011499,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_029_restaurants.mp3,127.48008299998328,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_030_police_situations.mp3,133.3789999997236,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
